File: weaviate
Type: inuse_space
Time: Mar 7, 2024 at 1:05pm (CET)
Showing nodes accounting for 613.42MB, 93.76% of 654.22MB total
Dropped 263 nodes (cum <= 3.27MB)
      flat  flat%   sum%        cum   cum%
  134.03MB 20.49% 20.49%   134.03MB 20.49%  github.com/weaviate/sroar.(*Bitmap).fastExpand
  128.07MB 19.58% 40.06%   128.07MB 19.58%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*vertex).appendConnectionAtLevelNoLock
   52.51MB  8.03% 48.09%    52.51MB  8.03%  github.com/weaviate/weaviate/adapters/repos/db/vector/compressionhelpers.BinaryQuantizer.Encode
      39MB  5.96% 54.05%    98.51MB 15.06%  github.com/weaviate/sroar.NewBitmapWith
   33.47MB  5.12% 59.17%    33.47MB  5.12%  google.golang.org/grpc.nopBufferPool.Get
      32MB  4.89% 64.06%       32MB  4.89%  github.com/weaviate/sroar.init
      22MB  3.36% 67.42%   195.04MB 29.81%  github.com/weaviate/weaviate/adapters/repos/db/roaringset.(*BinarySearchNode).insert
   17.61MB  2.69% 70.11%    17.61MB  2.69%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*binarySearchNodeMap).insert
   17.50MB  2.68% 72.79%      243MB 37.14%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnsw).AddBatch
   16.60MB  2.54% 75.33%    16.60MB  2.54%  github.com/weaviate/weaviate/usecases/byteops.Float32FromByteVector (inline)
   15.71MB  2.40% 77.73%    18.71MB  2.86%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv.(*compactorReplace).writeKeys
   15.09MB  2.31% 80.03%    15.09MB  2.31%  google.golang.org/protobuf/internal/impl.consumeBytesNoZero
   11.56MB  1.77% 81.80%    11.56MB  1.77%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv/segmentindex.(*Tree).grow (inline)
   10.57MB  1.61% 83.42%    10.57MB  1.61%  github.com/weaviate/weaviate/entities/storobj.(*Object).MarshalBinary
    9.92MB  1.52% 84.93%     9.92MB  1.52%  github.com/weaviate/weaviate/adapters/repos/db.New
    9.63MB  1.47% 86.40%    28.89MB  4.42%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv/segmentindex.(*Indexes).buildAndMarshalPrimary
    7.70MB  1.18% 87.58%     7.70MB  1.18%  github.com/weaviate/weaviate/adapters/repos/db/lsmkv/segmentindex.(*Tree).calculateDiskOffsets (inline)
    7.37MB  1.13% 88.71%     7.37MB  1.13%  github.com/weaviate/weaviate/adapters/repos/db/vector/cache.(*shardedLockCache[go.shape.uint64]).Grow
